City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Port-Gentil,GA,82.33,light rain,-0.7193,8.7815,Fengshui Residence
234,Hobyo,SO,83.43,clear sky,5.3505,48.5268,Iftin hotel hobyo
235,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
238,Samfya,ZM,78.96,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
247,Santa Cruz Cabralia,BR,84.43,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
254,Bowen,AU,79.36,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
256,Kavieng,PG,82.08,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
263,Kapit,MY,74.91,light rain,2.0167,112.9333,Hotel Meligai Kapit
265,Karratha,AU,84.11,broken clouds,-20.7377,116.8463,ibis Styles Karratha
272,Kahului,US,71.83,light rain,20.8947,-156.47,Maui Seaside Hotel
273,Sampit,ID,77.54,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
274,Dabat,ET,75.69,scattered clouds,12.9842,37.765,Haymanot hotel
275,Corralillo,CU,74.41,light rain,22.9819,-80.5856,Hostal De Pedri
278,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
280,Bandarbeyla,SO,80.06,clear sky,9.4942,50.8122,JABIR HOTEL
281,Asyut,EG,73.8,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
282,Ambovombe,MG,77.16,broken clouds,-25.1667,46.0833,RELAHARA
283,Gua Musang,MY,74.35,clear sky,4.8823,101.9644,Mines Inn Hotel
285,Sabang,ID,83.8,few clouds,5.8933,95.3214,Hotel Citra
291,Dondo,MZ,81.84,broken clouds,-19.6094,34.7431,Arco Iris
294,Lalian,PK,83.03,clear sky,31.8241,72.7997,Saleem Lali House
297,Paita,PE,71.1,light rain,-5.0892,-81.1144,Hotel Náutico de Paita
311,Souillac,MU,81.34,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
313,Luwuk,ID,77.25,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
315,Pontianak,ID,82.38,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
319,Sayyan,YE,71.33,broken clouds,15.1718,44.3244,ملاطف ابوحورية
320,Pundaguitan,PH,78.98,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
324,Koumac,NC,76.69,scattered clouds,-20.5667,164.2833,Le Monitel
332,Namibe,AO,79.0,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
334,Chimbote,PE,71.02,overcast clouds,-9.0853,-78.5783,Hotel Briliá
335,Rumphi,MW,78.85,scattered clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
338,Kendari,ID,77.22,broken clouds,-3.945,122.4989,Hotel Wixel
339,Longhua,CN,71.28,overcast clouds,23.6137,114.1919,Huadu Hotel
340,Japura,ID,78.71,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
341,Pemangkat,ID,81.46,scattered clouds,1.1667,108.9667,Ramah Kost KITA
