City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Husavik,IS,2022-03-26 14:03:48,66.0449,-17.3389,41.72,96,100,16.06,overcast clouds
60,Thompson,CA,2022-03-26 13:59:32,55.7435,-97.8558,-18.24,69,0,6.91,clear sky
61,Banjar,ID,2022-03-26 14:03:48,-8.19,114.9675,78.85,92,90,1.95,overcast clouds
62,Omboue,GA,2022-03-26 14:03:49,-1.5746,9.2618,83.79,78,100,10.74,light rain
63,Muros,ES,2022-03-26 14:03:49,42.7762,-9.0603,67.68,63,88,6.4,overcast clouds
64,Bubaque,GW,2022-03-26 14:03:49,11.2833,-15.8333,78.06,51,39,8.1,scattered clouds
65,Hithadhoo,MV,2022-03-26 14:03:50,-0.6,73.0833,84.02,67,4,13.96,clear sky
66,Bahir Dar,ET,2022-03-26 14:03:50,11.5936,37.3908,87.89,14,44,12.88,scattered clouds
67,Santa Rosalia,MX,2022-03-26 14:03:51,27.3167,-112.2833,67.57,25,75,3.62,broken clouds
68,Nikolskoye,RU,2022-03-26 14:03:51,59.7035,30.7861,32.88,88,100,17.13,snow
69,Terre Haute,US,2022-03-26 14:02:53,39.4667,-87.4139,35.96,65,75,21.85,broken clouds
70,Lakes Entrance,AU,2022-03-26 14:03:52,-37.8811,147.981,55.17,91,8,5.1,clear sky
71,Kazachinskoye,RU,2022-03-26 14:03:52,57.6953,93.2761,21.45,81,58,13.51,broken clouds
72,Constantine,DZ,2022-03-26 14:00:26,36.365,6.6147,72.81,24,40,4.61,scattered clouds
73,Ilulissat,GL,2022-03-26 14:03:52,69.2167,-51.1,19.42,63,40,3.44,scattered clouds
74,Bengkulu,ID,2022-03-26 14:03:53,-3.8004,102.2655,80.65,78,100,5.59,overcast clouds
75,Palm Springs,US,2022-03-26 13:59:36,33.8303,-116.5453,75.97,28,100,4.18,overcast clouds
76,Puerto Ayora,EC,2022-03-26 14:03:53,-0.7393,-90.3518,79.11,82,100,6.85,light rain
