City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Katherine,AU,2022-03-25 20:05:04,-14.4667,132.2667,77.32,73,40,3.44
1,Mataura,NZ,2022-03-25 20:05:05,-46.1927,168.8643,51.91,97,89,2.89
2,Sarankhola,BD,2022-03-25 20:05:05,22.3082,89.7897,77.88,89,39,11.21
3,Rikitea,PF,2022-03-25 20:05:10,-23.1203,-134.9692,79.57,73,88,19.35
4,Albany,US,2022-03-25 20:05:10,42.6001,-73.9662,52.59,67,97,11.74
5,Busselton,AU,2022-03-25 20:05:11,-33.65,115.3333,67.26,78,100,6.26
6,Isangel,VU,2022-03-25 20:05:11,-19.55,169.2667,78.4,78,98,9.55
7,Ushuaia,AR,2022-03-25 20:05:12,-54.8,-68.3,56.86,51,40,12.66
8,Am Timan,TD,2022-03-25 20:05:12,11.0297,20.2827,88.47,12,100,2.06
9,Cradock,ZA,2022-03-25 20:01:15,-32.1642,25.6192,56.79,84,100,6.08
10,Tomakomai,JP,2022-03-25 20:05:13,42.6369,141.6033,38.71,87,75,12.66
11,Qaqortoq,GL,2022-03-25 20:05:13,60.7167,-46.0333,28.18,72,6,2.51
12,Mahebourg,MU,2022-03-25 20:05:14,-20.4081,57.7,78.26,81,17,8.9
13,Faanui,PF,2022-03-25 20:05:14,-16.4833,-151.75,82.15,72,64,16.04
14,Castro,BR,2022-03-25 20:01:25,-24.7911,-50.0119,65.19,99,100,3.11
15,Mangai,CD,2022-03-25 20:05:15,-4.05,19.5333,73.8,89,100,2.04
16,Itoman,JP,2022-03-25 20:02:06,26.1247,127.6694,73.42,94,100,20.71
17,Puerto Ayora,EC,2022-03-25 20:05:16,-0.7393,-90.3518,85.96,79,68,6.58
18,Kapaa,US,2022-03-25 20:05:16,22.0752,-159.319,78.78,68,75,21.85
19,Cordele,US,2022-03-25 20:05:16,31.9635,-83.7824,70.32,24,0,19.57
20,Ugoofaaru,MV,2022-03-25 20:05:17,5.6667,73.0,81.7,65,8,3.02
21,Mount Gambier,AU,2022-03-25 20:05:17,-37.8333,140.7667,46.31,100,75,0.0
22,Kalundborg,DK,2022-03-25 20:05:18,55.6795,11.0886,48.34,83,21,17.65
23,Yerbogachen,RU,2022-03-25 20:05:18,61.2767,108.0108,-0.83,99,100,2.1
24,Ewa Beach,US,2022-03-25 20:04:24,21.3156,-158.0072,76.42,82,75,12.66
25,Udachnyy,RU,2022-03-25 20:05:18,66.4167,112.4,-10.44,100,100,4.63
26,Paamiut,GL,2022-03-25 20:05:19,61.994,-49.6678,23.38,74,36,12.75
27,Suntar,RU,2022-03-25 20:05:19,62.1444,117.6319,-0.99,100,100,0.58
28,Punta Arenas,CL,2022-03-25 20:01:16,-53.15,-70.9167,51.6,70,100,16.42
29,Narsaq,GL,2022-03-25 20:05:20,60.9167,-46.05,34.02,74,6,1.5
30,Escuinapa,MX,2022-03-25 20:05:20,22.85,-105.8,85.96,29,61,8.9
31,Butaritari,KI,2022-03-25 20:05:21,3.0707,172.7902,79.92,79,30,11.54
32,Georgetown,MY,2022-03-25 20:05:21,5.4112,100.3354,78.73,83,20,2.3
33,Lompoc,US,2022-03-25 20:00:46,34.6391,-120.4579,79.7,68,100,3.0
34,Katsuura,JP,2022-03-25 20:05:22,35.1333,140.3,60.19,78,100,21.83
35,Lazaro Cardenas,MX,2022-03-25 20:05:22,17.9583,-102.2,85.1,32,20,10.98
36,Maloy,NO,2022-03-25 20:05:23,61.9353,5.1136,40.73,70,100,16.2
37,Deputatskiy,RU,2022-03-25 20:05:23,69.3,139.9,-10.17,93,73,6.11
38,Bredasdorp,ZA,2022-03-25 20:05:24,-34.5322,20.0403,64.36,65,100,12.71
39,Hasaki,JP,2022-03-25 20:05:24,35.7333,140.8333,57.6,75,100,22.46
40,Pevek,RU,2022-03-25 20:05:24,69.7008,170.3133,-16.37,98,95,3.87
41,Sijunjung,ID,2022-03-25 20:05:25,-0.6876,100.9537,71.38,86,31,1.41
42,Pierre,US,2022-03-25 20:01:25,44.3683,-100.351,53.85,30,2,21.99
43,Alamosa,US,2022-03-25 20:01:15,37.4695,-105.87,62.58,15,0,5.75
44,Lithakia,GR,2022-03-25 20:05:25,37.7167,20.8333,47.57,66,1,14.43
45,New Norfolk,AU,2022-03-25 20:05:26,-42.7826,147.0587,52.72,86,6,2.62
46,Zanjan,IR,2022-03-25 20:05:56,36.6736,48.4787,37.69,55,99,9.98
47,Coquimbo,CL,2022-03-25 20:05:57,-29.9533,-71.3436,64.13,77,75,11.5
48,Huarmey,PE,2022-03-25 20:05:57,-10.0681,-78.1522,75.88,71,87,11.18
49,Talnakh,RU,2022-03-25 20:05:57,69.4865,88.3972,13.21,88,100,9.6
50,Bathsheba,BB,2022-03-25 20:05:58,13.2167,-59.5167,83.01,61,20,24.16
51,Chapleau,CA,2022-03-25 20:05:58,47.8405,-83.4034,32.36,96,100,6.11
52,Coahuayana,MX,2022-03-25 20:05:58,18.7333,-103.6833,89.31,30,0,8.7
53,Sechura,PE,2022-03-25 20:05:59,-5.5569,-80.8222,82.81,56,85,12.62
54,Avarua,CK,2022-03-25 20:05:59,-21.2078,-159.775,80.65,83,75,11.5
55,Norman Wells,CA,2022-03-25 20:06:00,65.282,-126.8329,5.43,87,69,13.33
56,Muros,ES,2022-03-25 20:06:00,42.7762,-9.0603,61.09,71,55,5.79
57,Kendari,ID,2022-03-25 20:06:00,-3.945,122.4989,74.59,95,100,4.43
